order_id,customer_id,customer_name,age,gender,city,state,region,loyalty_tier,product_category,product_name,quantity,unit_price,discount,total_sales,order_date,payment_method,customer_rating,return_flag,shipping_days,year,month,month_name,quarter
ORD-12741,CUST-5782,Manish Malhotra,38,Female,Kochi,Kerala,South,Gold,Electronics,Smartphone,1,28478.31,0.0,28478.31,2023-01-23,UPI,3.2,False,6,2023,1,Jan,1
ORD-11307,CUST-5378,Amit Joshi,56,Male,Indore,Madhya Pradesh,Central,Bronze,Books,Machine Learning A-Z,1,332.66,0.0,332.66,2024-12-06,UPI,3.7,False,5,2024,12,Dec,4
ORD-11601,CUST-5658,Lakshmi Nair,36,Male,Raipur,Chhattisgarh,Central,Gold,Groceries,Tea Powder,1,387.13,0.0,387.13,2024-05-20,UPI,4.0,False,6,2024,5,May,2
ORD-12621,CUST-5480,Deepa Mehta,33,Female,Kolkata,West Bengal,East,Gold,Groceries,Atta (10kg),4,508.04,0.05,1930.55,2024-01-08,Cash,3.0,False,7,2024,1,Jan,1
ORD-12029,CUST-5410,Tarun Bose,42,Female,Lucknow,Uttar Pradesh,North,Bronze,Groceries,Tea Powder,2,693.0,0.05,1316.7,2024-04-17,Net Banking,4.1,False,5,2024,4,Apr,2
ORD-11950,CUST-5008,Arjun Nair,30,Female,Amritsar,Punjab,North,Silver,Sports,Jump Rope,4,1634.26,0.1,5883.34,2024-02-16,Cash,4.6,False,5,2024,2,Feb,1
ORD-12718,CUST-5036,Vinod Singh,37,Male,Chennai,Tamil Nadu,South,Bronze,Groceries,Biscuits,1,563.59,0.0,563.59,2023-07-05,UPI,2.9,False,6,2023,7,Jul,3
ORD-10184,CUST-5009,Kiran Chatterjee,35,Male,Chennai,Tamil Nadu,South,Bronze,Books,Python Crash Course,1,659.04,0.0,659.04,2023-04-08,UPI,4.6,False,5,2023,4,Apr,2
ORD-12400,CUST-5790,Amit Chatterjee,39,Female,Surat,Gujarat,West,Gold,Sports,Cycling Gloves,2,7474.94,0.05,14202.39,2023-01-26,Credit Card,3.4,False,3,2023,1,Jan,1
ORD-10194,CUST-5670,Aditi Das,47,Female,Ahmedabad,Gujarat,West,Gold,Electronics,Smart Watch,3,69840.37,0.05,199045.05,2024-06-04,Credit Card,3.3,False,4,2024,6,Jun,2
ORD-12798,CUST-5398,Lakshmi Singh,33,Female,Jaipur,Rajasthan,North,Gold,Furniture,Sofa,1,49691.32,0.05,47206.75,2023-03-17,Debit Card,3.3,False,4,2023,3,Mar,1
ORD-11195,CUST-5303,Amit Verma,41,Female,Nashik,Maharashtra,West,Silver,Clothing,Sneakers,1,438.11,0.2,350.49,2023-02-20,UPI,3.8,False,5,2023,2,Feb,1
ORD-11406,CUST-5333,Suresh Reddy,28,Male,Hyderabad,Telangana,South,Gold,Clothing,Jacket,1,1487.09,0.0,1487.09,2023-09-09,Credit Card,4.0,False,5,2023,9,Sep,3
ORD-10314,CUST-5330,Meera Tiwari,34,Male,Ahmedabad,Gujarat,West,Bronze,Sports,Yoga Mat,2,6090.5,0.1,10962.9,2024-09-19,Net Banking,4.0,False,3,2024,9,Sep,3
ORD-10102,CUST-5791,Vikram Verma,37,Female,Coimbatore,Tamil Nadu,South,Silver,Furniture,Bed Frame,2,32090.91,0.25,48136.36,2024-08-28,Debit Card,3.8,False,6,2024,8,Aug,3
ORD-11437,CUST-5110,Swati Joshi,18,Male,Ranchi,Jharkhand,East,Gold,Clothing,Jacket,1,4593.39,0.25,3445.04,2024-02-05,Net Banking,4.1,False,4,2024,2,Feb,1
ORD-12959,CUST-5251,Neha Rao,44,Female,Jaipur,Rajasthan,North,Gold,Sports,Yoga Mat,1,1756.06,0.2,1404.85,2023-10-12,UPI,3.9,False,4,2023,10,Oct,4
ORD-11221,CUST-5327,Deepa Chatterjee,42,Female,Raipur,Chhattisgarh,Central,Gold,Furniture,Bed Frame,1,43808.36,0.05,41617.94,2024-01-09,Debit Card,4.4,False,7,2024,1,Jan,1
ORD-12935,CUST-5294,Tarun Bose,35,Female,Kochi,Kerala,South,Silver,Clothing,Sports Shorts,1,2163.89,0.0,2163.89,2024-03-01,Debit Card,4.7,False,4,2024,3,Mar,1
ORD-10705,CUST-5331,Suresh Kumar,35,Female,Bengaluru,Karnataka,South,Bronze,Clothing,Dress,3,3178.27,0.15,8104.59,2023-04-19,Cash,3.2,False,3,2023,4,Apr,2
ORD-12234,CUST-5400,Divya Singh,19,Female,Chennai,Tamil Nadu,South,Silver,Books,Clean Code,3,139.67,0.2,335.21,2023-01-31,Credit Card,3.3,False,6,2023,1,Jan,1
ORD-11973,CUST-5687,Kavya Joshi,31,Female,Mumbai,Maharashtra,West,Silver,Groceries,Tea Powder,1,522.23,0.1,470.01,2024-09-08,Cash,3.5,False,3,2024,9,Sep,3
ORD-11517,CUST-5058,Vikram Reddy,38,Female,Bhopal,Madhya Pradesh,Central,Gold,Electronics,LED Monitor,4,64994.18,0.15,220980.21,2024-07-05,Cash,4.2,False,6,2024,7,Jul,3
ORD-12976,CUST-5720,Nisha Sharma,38,Female,Surat,Gujarat,West,Gold,Groceries,Tea Powder,2,316.8,0.25,475.2,2023-09-03,UPI,4.1,False,3,2023,9,Sep,3
ORD-12232,CUST-5759,Arjun Bose,42,Female,Patna,Bihar,East,Bronze,Books,Clean Code,2,204.31,0.0,408.62,2024-02-14,Cash,4.2,False,5,2024,2,Feb,1
ORD-10178,CUST-5308,Priya Nair,40,Female,Mumbai,Maharashtra,West,Bronze,Books,Fiction Novel,3,880.9,0.0,2642.7,2023-07-30,Cash,3.3,False,3,2023,7,Jul,3
